User_ID,Product_ID,Product_Name,Rating
U033,P106,Keyboard Mekanik Fantech,5
U033,P102,Laptop Office Lenovo,4
U034,P103,MacBook Air M2,4
U034,P112,Earphone TWS Sony,5
U034,P110,Monitor 4K Samsung,4
U034,P104,Mouse Wireless Logitech,4
U034,P102,Laptop Office Lenovo,4
U034,P114,SSD External 1TB Samsung,5
U034,P109,Monitor 144Hz LG,3
U035,P108,Cooling Pad DeepCool,4
U035,P111,Headset Gaming SteelSeries,5
U035,P105,Mouse Gaming Razer,3
U035,P106,Keyboard Mekanik Fantech,4
U035,P110,Monitor 4K Samsung,3
U036,P112,Earphone TWS Sony,5
U036,P114,SSD External 1TB Samsung,3
U036,P107,Keyboard Wireless Keychron,4
U036,P113,Flashdisk 64GB Sandisk,5
U036,P103,MacBook Air M2,5
U036,P115,Webcam 1080p Logitech,5
U036,P104,Mouse Wireless Logitech,5
U036,P105,Mouse Gaming Razer,3
U037,P110,Monitor 4K Samsung,3
U037,P107,Keyboard Wireless Keychron,3
U037,P113,Flashdisk 64GB Sandisk,3
U037,P103,MacBook Air M2,4
U037,P105,Mouse Gaming Razer,4
U038,P108,Cooling Pad DeepCool,4
U038,P111,Headset Gaming SteelSeries,4
U038,P105,Mouse Gaming Razer,3
U038,P113,Flashdisk 64GB Sandisk,2
U039,P101,Laptop Gaming ASUS,5
U039,P108,Cooling Pad DeepCool,5
U039,P105,Mouse Gaming Razer,4
U039,P104,Mouse Wireless Logitech,2
U040,P108,Cooling Pad DeepCool,5
U040,P105,Mouse Gaming Razer,5
U040,P111,Headset Gaming SteelSeries,4
U040,P115,Webcam 1080p Logitech,3
